origLon   , origLat  , destLon   , destLay   ,time [S]
359.833374,51.518745,359.834073,51.519413,6
359.834525,51.520685,359.83451,51.520683,1
359.831986,51.519539,359.832823,51.519704,4
359.835937,51.520899,359.835723,51.521004,1
359.835947,51.520899,359.836202,51.520564,5
359.835741,51.521005,359.835754,51.521005,1
359.834478,51.520788,359.834465,51.520813,1
359.834514,51.520689,359.834478,51.520788,5
359.83444,51.520794,359.834465,51.520813,1
359.83444,51.520794,359.834491,51.520801,3
359.834517,51.52068,359.834514,51.520689,3
359.834517,51.52068,359.83451,51.520683,1
359.834856,51.520716,359.834525,51.520685,1
359.834729,51.52021,359.834424,51.520307,2
359.834695,51.519672,359.834187,51.519795,2
359.834187,51.519795,359.834094,51.519427,3
359.834094,51.519427,359.833097,51.518496,8
359.834119,51.519417,359.83473,51.519113,4
359.834094,51.519427,359.834119,51.519417,1
359.834073,51.519413,359.834119,51.519417,1
359.834073,51.519413,359.834288,51.520084,5
359.832823,51.519704,359.833963,51.519937,5
359.833963,51.519937,359.834187,51.519795,1
359.833963,51.519937,359.834288,51.520084,3
359.834288,51.520084,359.834517,51.52068,10
359.834424,51.520307,359.834187,51.519795,4
359.832823,51.519704,359.833374,51.518745,7
359.833045,51.518503,359.833374,51.518745,2
359.835712,51.520994,359.835754,51.521005,1
359.835741,51.521005,359.835751,51.520999,1
359.837056,51.521121,359.835938,51.520917,5
359.835751,51.520999,359.835947,51.520899,1
359.835938,51.520917,359.835884,51.52091,1
359.836192,51.520544,359.835937,51.520899,3
359.835937,51.520899,359.835884,51.52091,1
359.835938,51.520917,359.835947,51.520899,1
359.834465,51.520813,359.834304,51.521091,2
359.834478,51.520788,359.834491,51.520801,3
359.835884,51.52091,359.834856,51.520716,4
359.834856,51.520716,359.834424,51.520307,4
359.83451,51.520683,359.832813,51.520398,11
359.832813,51.520398,359.829162,51.519916,17
359.829884,51.520056,359.832806,51.520514,28
359.829116,51.519989,359.832806,51.520514,31
359.834491,51.520801,359.835712,51.520994,14
359.835712,51.520994,359.835723,51.521004,1
359.835723,51.521004,359.835591,51.521176,1
359.835654,51.521121,359.835741,51.521005,1
359.835754,51.521005,359.836965,51.521228,5
359.832806,51.520514,359.83444,51.520794,14
359.832813,51.520398,359.830205,51.519823,27
