origLon   , origLat  , destLon   , destLay   ,Lanes, dist
359.833374,51.518745,359.834073,51.519413,2,89
359.834525,51.520685,359.83451,51.520683,3,4
359.831986,51.519539,359.832823,51.519704,2,61
359.835937,51.520899,359.835723,51.521004,1,19
359.835947,51.520899,359.836202,51.520564,1,41
359.835741,51.521005,359.835754,51.521005,1,4
359.834478,51.520788,359.834465,51.520813,2,4
359.834514,51.520689,359.834478,51.520788,2,11
359.83444,51.520794,359.834465,51.520813,1,4
359.83444,51.520794,359.834491,51.520801,3,4
359.834517,51.52068,359.834514,51.520689,2,4
359.834517,51.52068,359.83451,51.520683,1,4
359.834856,51.520716,359.834525,51.520685,3,23
359.834729,51.52021,359.834424,51.520307,1,24
359.834695,51.519672,359.834187,51.519795,1,38
359.834187,51.519795,359.834094,51.519427,1,41
359.834094,51.519427,359.833097,51.518496,1,125
359.834119,51.519417,359.83473,51.519113,1,54
359.834094,51.519427,359.834119,51.519417,1,4
359.834073,51.519413,359.834119,51.519417,1,4
359.834073,51.519413,359.834288,51.520084,2,76
359.832823,51.519704,359.833963,51.519937,2,83
359.833963,51.519937,359.834187,51.519795,1,22
359.833963,51.519937,359.834288,51.520084,1,28
359.834288,51.520084,359.834517,51.52068,2,68
359.834424,51.520307,359.834187,51.519795,1,59
359.832823,51.519704,359.833374,51.518745,1,113
359.833045,51.518503,359.833374,51.518745,2,35
359.835712,51.520994,359.835754,51.521005,3,4
359.835741,51.521005,359.835751,51.520999,2,4
359.837056,51.521121,359.835938,51.520917,3,81
359.835751,51.520999,359.835947,51.520899,2,18
359.835938,51.520917,359.835884,51.52091,3,4
359.836192,51.520544,359.835937,51.520899,1,43
359.835937,51.520899,359.835884,51.52091,1,4
359.835938,51.520917,359.835947,51.520899,1,4
359.834465,51.520813,359.834304,51.521091,1,33
359.834478,51.520788,359.834491,51.520801,1,4
359.835884,51.52091,359.834856,51.520716,3,74
359.834856,51.520716,359.834424,51.520307,1,54
359.83451,51.520683,359.832813,51.520398,3,122
359.832813,51.520398,359.829162,51.519916,2,259
359.829884,51.520056,359.832806,51.520514,2,209
359.829116,51.519989,359.832806,51.520514,2,262
359.834491,51.520801,359.835712,51.520994,3,87
359.835712,51.520994,359.835723,51.521004,1,4
359.835723,51.521004,359.835591,51.521176,1,21
359.835654,51.521121,359.835741,51.521005,2,14
359.835754,51.521005,359.836965,51.521228,3,87
359.832806,51.520514,359.83444,51.520794,3,117
359.832813,51.520398,359.830205,51.519823,2,192
